window_start,window_end,model,N,breaches,coverage,kupiec_p,christoffersen_p,band_95pct,status_95pct
2023-02-06,2024-02-02,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-07,2024-02-05,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-07,2024-02-05,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-07,2024-02-05,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-08,2024-02-06,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-08,2024-02-06,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-08,2024-02-06,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-09,2024-02-07,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-09,2024-02-07,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-09,2024-02-07,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-10,2024-02-08,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-10,2024-02-08,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-10,2024-02-08,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-13,2024-02-09,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-13,2024-02-09,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-13,2024-02-09,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-14,2024-02-12,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-14,2024-02-12,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-14,2024-02-12,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-15,2024-02-13,HAR,250,27,0.108,0.00023987731420271885,0.73452081659547,6-20,too_many[6-20]
2023-02-15,2024-02-13,GARCH_t,250,6,0.024,0.03660569014042203,0.4950305167337935,6-20,within[6-20]
2023-02-15,2024-02-13,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-16,2024-02-14,HAR,250,27,0.108,0.00023987731420271885,0.7345208165954384,6-20,too_many[6-20]
2023-02-16,2024-02-14,GARCH_t,250,6,0.024,0.03660569014042203,0.54904324289375,6-20,within[6-20]
2023-02-16,2024-02-14,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-17,2024-02-15,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-17,2024-02-15,GARCH_t,250,6,0.024,0.03660569014042203,0.54904324289375,6-20,within[6-20]
